param,model_var,rq_intercept,rq_slope,rule,buffer
time,,,,get_stats_for_std_variance_for_group,
memory,,,,get_stats_for_std_variance_for_group,
time,,,,make_clean_sces,
memory,,,,make_clean_sces,
time,,,,make_tmp_mtx_file,
memory,,,,make_tmp_mtx_file,
time,,,,run_celltypist,
memory,,,,run_celltypist,
time,,,,run_scprocess_labeller,
memory,,,,run_scprocess_labeller,
time,,,,merge_labels,
memory,,,,merge_labels,
time,,,,save_alevin_to_h5,
memory,,,,save_alevin_to_h5,
time,,,,render_html_multiplexing,
memory,,,,render_html_multiplexing,
time,,,,render_html_hvgs,
memory,,,,render_html_hvgs,
time,,,,render_html_label_celltypes,
memory,,,,render_html_label_celltypes,
time,,,,get_zoom_sample_statistics,
memory,,,,get_zoom_sample_statistics,
time,,,,zoom_make_pb_subset,
memory,,,,zoom_make_pb_subset,
time,,,,zoom_calculate_ambient_genes,
memory,,,,zoom_calculate_ambient_genes,
time,,,,zoom_make_hvg_df,
memory,,,,zoom_make_hvg_df,
time,,,,zoom_make_tmp_csr_matrix,
memory,,,,zoom_make_tmp_csr_matrix,
time,,,,zoom_get_stats_for_std_variance_for_sample,
memory,,,,zoom_get_stats_for_std_variance_for_sample,
time,,,,zoom_get_mean_var_for_group,
memory,,,,zoom_get_mean_var_for_group,
time,,,,zoom_merge_group_mean_var,
memory,,,,zoom_merge_group_mean_var,
time,,,,zoom_get_estimated_variances,
memory,,,,zoom_get_estimated_variances,
time,,,,zoom_get_stats_for_std_variance_for_group,
memory,,,,zoom_get_stats_for_std_variance_for_group,
time,,,,zoom_merge_stats_for_std_variance,
memory,,,,zoom_merge_stats_for_std_variance,
time,,,,zoom_get_highly_variable_genes,
memory,,,,zoom_get_highly_variable_genes,
time,,,,zoom_create_hvg_matrix,
memory,,,,zoom_create_hvg_matrix,
time,,,,zoom_run_integration,
memory,,,,zoom_run_integration,
time,,,,zoom_run_marker_genes,
memory,,,,zoom_run_marker_genes,
time,,,,zoom_make_subset_sces,
memory,,,,zoom_make_subset_sces,
time,,,,render_html_zoom,
memory,,,,render_html_zoom,
time,input.af_h5_f,53.06,2.489,run_decontx,5
memory,input.af_h5_f,943.34,68.985,run_decontx,2048
time,input.clean_h5_f,6.79,0.805,get_stats_for_std_variance_for_sample,5
memory,input.clean_h5_f,407.23,13.323,get_stats_for_std_variance_for_sample,2048
